D2,shift,inv_ratio,sim,median_delay
4,0,0.75,2,48.5
4,0,0.75,3,37.0
4,0,0.75,4,24.5
4,0,0.75,5,42.0
4,0,0.75,6,36.5
4,0,0.75,7,57.0
4,0,0.75,8,623.0
4,0,0.75,9,16.0
4,0,0.75,10,199.0
4,0,0.75,11,24.5
4,0,0.75,12,104.0
4,0,0.75,13,14.5
4,0,0.75,14,13.0
4,0,0.75,15,14.0
4,0,0.75,16,111.0
4,0,0.75,17,146.0
4,0,0.75,18,38.5
4,0,0.75,19,4.5
4,0,1.0,0,28.5
4,0,1.0,1,37.5
4,0,1.0,2,1.0
4,0,1.0,3,25.5
4,0,1.0,4,94.5
4,0,1.0,5,32.5
4,0,1.0,6,11.0
4,0,1.0,7,1.0
4,0,1.0,8,186.0
4,0,1.0,9,49.0
4,0,1.0,10,45.0
4,0,1.0,11,13.0
4,0,1.0,12,35.5
4,0,1.0,13,112.0
4,0,1.0,14,23.0
4,0,1.0,15,5.0
4,0,1.0,16,118.0
4,0,1.0,17,14.0
4,0,1.0,18,16.5
4,0,1.0,19,102.0
4,1,0.0,0,24.0
4,1,0.0,1,1.0
4,1,0.0,2,45.0
4,1,0.0,3,387.5
4,1,0.0,4,12.5
4,1,0.0,5,18.0
4,1,0.0,6,118.0
4,1,0.0,7,14.0
4,1,0.0,8,35.5
4,1,0.0,9,91.5
4,1,0.0,10,26.0
4,1,0.0,11,23.0
4,1,0.0,12,434.0
4,1,0.0,13,22.0
4,1,0.0,14,14.5
4,1,0.0,15,27.0
4,1,0.0,16,14.5
4,1,0.0,17,148.5
4,1,0.0,18,117.0
4,1,0.0,19,36.0
4,1,0.25,0,24.0
4,1,0.25,1,56.5
4,1,0.25,2,33.0
4,1,0.25,3,33.0
4,1,0.25,4,44.5
4,1,0.25,5,36.0
4,1,0.25,6,29.5
4,1,0.25,7,265.5
4,1,0.25,8,33.5
4,1,0.25,9,443.0
4,1,0.25,10,24.5
4,1,0.25,11,43.0
4,1,0.25,12,55.5
4,1,0.25,13,28.5
4,1,0.25,14,681.0
4,1,0.25,15,42.0
4,1,0.25,16,23.0
4,1,0.25,17,1.0
4,1,0.25,18,46.5
4,1,0.25,19,27.5
4,1,0.5,0,22.5
4,1,0.5,1,8.5
4,1,0.5,2,6.5
4,1,0.5,3,26.0
4,1,0.5,4,69.0
4,1,0.5,5,40.5
4,1,0.5,6,21.5
4,1,0.5,7,19.0
4,1,0.5,8,60.5
4,1,0.5,9,2.5
4,1,0.5,10,43.5
4,1,0.5,11,77.5
4,1,0.5,12,68.0
4,1,0.5,13,19.5
4,1,0.5,14,34.0
4,1,0.5,15,23.0
4,1,0.5,16,68.5
4,1,0.5,17,6.5
4,1,0.5,18,172.0
4,1,0.5,19,26.0
4,1,0.75,0,73.5
4,1,0.75,1,25.5
4,1,0.75,2,28.0
4,1,0.75,3,130.5
4,1,0.75,4,28.0
4,1,0.75,5,115.5
4,1,0.75,6,92.0
4,1,0.75,7,23.0
4,1,0.75,8,109.0
4,1,0.75,9,8.5
4,1,0.75,10,28.0
4,1,0.75,11,28.5
4,1,0.75,12,84.0
4,1,0.75,13,34.0
4,1,0.75,14,34.5
4,1,0.75,15,27.5
4,1,0.75,16,13.0
4,1,0.75,17,29.0
4,1,0.75,18,38.5
4,1,0.75,19,141.5
4,1,1.0,0,57.0
4,1,1.0,1,27.5
4,1,1.0,2,28.5
4,1,1.0,3,38.0
4,1,1.0,4,26.5
4,1,1.0,5,7.0
4,1,1.0,6,143.5
4,1,1.0,7,125.0
4,1,1.0,8,187.5
4,1,1.0,9,17.0
4,1,1.0,10,67.0
4,1,1.0,11,23.5
4,1,1.0,12,224.5
4,1,1.0,13,42.0
4,1,1.0,14,42.5
4,1,1.0,15,23.5
4,1,1.0,16,144.0
4,1,1.0,17,145.5
4,1,1.0,18,61.0
4,1,1.0,19,13.5
4,2,0.0,0,15.0
4,2,0.0,1,46.5
4,2,0.0,2,59.0
4,2,0.0,3,20.5
4,2,0.0,4,19.5
4,2,0.0,5,2.0
4,2,0.0,6,18.0
4,2,0.0,7,63.0
4,2,0.0,8,17.5
4,2,0.0,9,24.5
4,2,0.0,10,25.5
4,2,0.0,11,11.0
4,2,0.0,12,81.5
4,2,0.0,13,40.5
4,2,0.0,14,6.0
4,2,0.0,15,297.5
4,2,0.0,16,63.5
4,2,0.0,17,34.5
4,2,0.0,18,57.0
4,2,0.0,19,8.0
4,2,0.25,0,57.0
4,2,0.25,1,76.5
4,2,0.25,2,153.0
4,2,0.25,3,58.0
4,2,0.25,4,41.0
4,2,0.25,5,3.0
4,2,0.25,6,9.5
4,2,0.25,7,10.5
4,2,0.25,8,23.5
